GSM53274	GSM53276	GSM53277	GSM53278	GSM53279	GSM53280	GSM53281	GSM53282	GSM53283	GSM53275	GSM53268	GSM53269	GSM53270	GSM53271	GSM53272	GSM53273
Snca	15.8606190017691	15.7167631920307	15.6837334329834	15.6531490671056	15.8153324753981	15.4851676053332	15.8713472980738	15.5805641860227	15.7167631920307	15.5984311444638	15.7364921774238	15.7167631920307	15.6531490671056	15.675167721969	15.6837334329834	16.0289048211596
Tubb5	15.7557219502634	15.8024395852399	15.675167721969	15.6923341048294	15.6345151421691	15.5132601750667	15.6652014707524	15.5711407546999	15.9266552191962	15.5364150328989	15.5898179046282	15.6092581331297	15.4996411889157	15.4594280058189	15.5711407546999	15.6923341048294
Uqcr11	15.6092581331297	15.6345151421691	15.5286443749256	15.675167721969	15.5984311444638	15.2801569808876	15.5055654855863	15.2858629367241	15.6443611824187	15.327529954935	15.5132601750667	15.5438572030124	15.4762331236845	15.5521124489695	15.3579371918462	15.7043050147384
Stxbp1	15.5132601750667	15.4926024142722	15.5805641860227	15.4445756396962	15.5364150328989	15.5055654855863	15.5209201824651	15.4312453047116	15.5364150328989	15.3579371918462	15.5628063949745	15.4123763427484	15.5364150328989	15.5286443749256	15.4594280058189	15.4851676053332
Dnm1	15.5711407546999	15.5209201824651	15.6345151421691	15.5055654855863	15.5898179046282	15.5521124489695	15.7557219502634	15.6531490671056	15.6345151421691	15.6345151421691	15.6345151421691	15.5521124489695	15.5521124489695	15.5364150328989	15.4926024142722	15.7249280681179
Clu	15.7043050147384	15.7364921774238	15.7719691081397	15.7364921774238	15.6183037180869	15.7876932101547	15.5898179046282	15.7043050147384	15.4996411889157	15.5438572030124	15.7457272946919	15.6837334329834	15.5898179046282	15.7043050147384	15.5898179046282	15.4676386626463
Prkar1b	15.7719691081397	15.7876932101547	15.6652014707524	15.8306797328994	15.9266552191962	15.5628063949745	15.675167721969	15.5209201824651	15.8843607400167	15.4445756396962	15.4594280058189	15.192320300889	15.4445756396962	15.4312453047116	15.3155536398645	15.7876932101547
Aldoc	15.6259897060134	15.5521124489695	15.6443611824187	15.7167631920307	15.8024395852399	15.6183037180869	15.7043050147384	15.5521124489695	15.7876932101547	15.4375795082355	15.2451156384738	15.5209201824651	15.6092581331297	15.6092581331297	15.4511982765967	15.6443611824187
Mdh1	15.2801569808876	15.4221193823889	15.4851676053332	15.3579371918462	15.3926426836039	15.4043519291231	15.384375318715	15.4676386626463	15.4375795082355	15.3653103301967	15.4221193823889	15.5055654855863	15.4594280058189	15.4511982765967	15.4676386626463	15.2934392941971
Slc25a4	15.5898179046282	15.675167721969	15.5984311444638	15.5132601750667	15.5521124489695	15.7364921774238	15.4851676053332	15.4123763427484	15.5805641860227	15.384375318715	15.6259897060134	15.5805641860227	15.5438572030124	15.4676386626463	15.5055654855863	15.5711407546999
Rtn1	15.3653103301967	15.6443611824187	15.4762331236845	15.5521124489695	15.4676386626463	15.6259897060134	15.5628063949745	15.6923341048294	15.4926024142722	15.4996411889157	15.5711407546999	15.5711407546999	15.5286443749256	15.4221193823889	15.5364150328989	15.384375318715
Glul	15.6837334329834	15.5364150328989	15.4511982765967	15.5711407546999	15.7719691081397	15.6837334329834	15.6443611824187	15.5286443749256	15.8024395852399	15.6652014707524	15.4312453047116	15.2934392941971	15.4123763427484	15.3518482348388	15.5628063949745	15.7457272946919
Pgam1	15.4312453047116	15.4851676053332	15.4221193823889	15.4996411889157	15.5209201824651	15.4594280058189	15.376263423138	15.3987481820764	15.5984311444638	15.4511982765967	15.4851676053332	15.4996411889157	15.675167721969	15.4762331236845	15.4762331236845	15.5438572030124
Cpe	15.5438572030124	15.5711407546999	15.6923341048294	15.5805641860227	15.6652014707524	15.4375795082355	15.8306797328994	15.7364921774238	15.4676386626463	15.8024395852399	15.4375795082355	15.7557219502634	15.6443611824187	15.6259897060134	15.675167721969	15.5984311444638
Vamp2	15.5209201824651	15.7043050147384	15.7043050147384	15.6259897060134	15.6837334329834	15.6443611824187	15.8024395852399	15.7167631920307	15.7719691081397	15.4312453047116	15.6443611824187	15.5364150328989	15.5209201824651	15.6531490671056	15.5209201824651	15.675167721969
Atp2a2	15.0417188199817	15.3579371918462	15.5898179046282	15.3010355927874	15.4594280058189	15.4762331236845	15.5286443749256	15.3010355927874	15.3354730813416	15.1315912994193	15.3653103301967	15.384375318715	15.4511982765967	15.5898179046282	15.3926426836039	15.4221193823889
Hbb	15.4445756396962	14.7672505008867	15.1028502827352	15.1736319553708	15.2532371705301	15.3518482348388	15.0969203943701	15.4851676053332	15.5055654855863	15.9266552191962	15.0907074654448	15.0603305208576	15.2716388078356	15.3354730813416	15.6443611824187	15.0969203943701
Grina	15.6652014707524	15.4375795082355	15.4926024142722	15.5438572030124	15.6092581331297	15.4926024142722	15.2858629367241	15.6259897060134	15.6259897060134	15.6183037180869	15.4762331236845	15.4312453047116	15.4375795082355	15.376263423138	15.5805641860227	15.5805641860227
Calm1	15.1798728601876	15.1625181999807	15.3010355927874	15.2251779532122	15.212543736789	15.1157504541811	15.2327580341183	15.3354730813416	15.2716388078356	15.3354730813416	15.2801569808876	15.3987481820764	15.327529954935	15.2594254192779	15.3442303116754	15.149505682706
Tpt1	15.6443611824187	15.4762331236845	15.5209201824651	15.7557219502634	15.4996411889157	15.5898179046282	15.5521124489695	15.5132601750667	15.5209201824651	15.675167721969	15.4926024142722	15.4926024142722	15.5628063949745	15.1379435526068	15.5521124489695	15.5286443749256
Cx3cl1	15.1090710425158	15.0025678688302	14.9561417148577	14.9738228715657	14.9617818697736	14.7281597734839	15.0244113503144	14.843749651818	15.0734888875834	14.8396368969157	14.9515446377742	15.0485832962048	15.00738081711	15.3155536398645	15.1379435526068	15.2389123872035
Eif4a2	15.4762331236845	15.5438572030124	15.4594280058189	15.4312453047116	15.5132601750667	15.5364150328989	15.4375795082355	15.3442303116754	15.327529954935	15.2532371705301	15.5209201824651	15.4221193823889	15.376263423138	15.2532371705301	15.3223839937908	15.4375795082355
App	15.4511982765967	15.4043519291231	15.3223839937908	15.3518482348388	15.4043519291231	15.4676386626463	15.2716388078356	15.149505682706	15.3223839937908	15.1736319553708	15.384375318715	15.3442303116754	15.3579371918462	15.2451156384738	15.3987481820764	15.5364150328989
Ppia	14.9561417148577	15.1157504541811	15.3155536398645	15.207053794696	14.5648430830815	15.1028502827352	15.3518482348388	15.5055654855863	14.870122125176	15.1234364878132	15.5364150328989	15.3223839937908	15.2858629367241	15.3653103301967	15.5286443749256	14.9515446377742
COX2	15.3083785137477	15.2532371705301	15.3083785137477	14.4724826702854	14.3692303824493	15.192320300889	15.2532371705301	15.4762331236845	14.635465143878	15.5286443749256	15.7557219502634	15.5286443749256	15.6837334329834	15.5711407546999	15.7043050147384	15.2532371705301
Rps16	15.4676386626463	15.2716388078356	15.2532371705301	15.3223839937908	15.2389123872035	15.3155536398645	15.1379435526068	15.201652257184	15.2801569808876	15.3223839937908	15.2858629367241	15.376263423138	15.3518482348388	15.192320300889	15.1736319553708	15.4312453047116
Pkm	15.384375318715	15.327529954935	15.2660690129402	15.2181397277108	15.376263423138	15.2716388078356	15.2594254192779	14.9889173388274	15.376263423138	15.1683582818305	15.201652257184	15.2858629367241	15.207053794696	15.3579371918462	15.0734888875834	15.2327580341183
Atp5f1b	15.1625181999807	15.149505682706	15.327529954935	15.2532371705301	15.1870134033273	15.1736319553708	15.2660690129402	15.1798728601876	15.1736319553708	15.2858629367241	15.1736319553708	15.207053794696	15.1736319553708	14.979762877314	15.0802166589175	15.1157504541811
Rplp0	15.6923341048294	15.5898179046282	15.4676386626463	15.6183037180869	15.5711407546999	15.6345151421691	15.327529954935	15.3926426836039	15.3926426836039	15.2934392941971	15.3223839937908	15.3653103301967	15.4312453047116	15.4043519291231	15.2660690129402	15.5628063949745
Olfm1	14.8148907506832	14.9889173388274	15.1090710425158	15.149505682706	14.9956847463657	15.0313682312994	15.1736319553708	15.0907074654448	15.0119258632135	15.0417188199817	15.0119258632135	15.0802166589175	15.149505682706	15.1683582818305	15.1157504541811	14.843749651818
Rpl27a	15.1442087522612	15.1736319553708	15.201652257184	15.3083785137477	15.2934392941971	15.3083785137477	15.1315912994193	15.3223839937908	15.1683582818305	15.3442303116754	15.1625181999807	15.2181397277108	15.0907074654448	15.00738081711	15.1798728601876	15.1683582818305
Ctxn1	15.2181397277108	15.2934392941971	15.0969203943701	15.0858350323478	15.1736319553708	15.0025678688302	15.2251779532122	15.0313682312994	15.0025678688302	15.2716388078356	15.0669251464052	14.9617818697736	14.945878682111	14.8657062003039	14.7362146957484	15.1090710425158
Uba52	15.4043519291231	15.2451156384738	15.2251779532122	15.5364150328989	15.3579371918462	15.2660690129402	15.1234364878132	15.2251779532122	15.5898179046282	15.0858350323478	15.0417188199817	15.4043519291231	15.1234364878132	15.1157504541811	14.9738228715657	15.6837334329834
Cox5a	15.0734888875834	14.979762877314	15.1683582818305	14.8860172243249	14.7583180489969	15.1379435526068	14.8487410875689	15.1570082759612	15.1234364878132	14.9270831258973	15.192320300889	15.1090710425158	15.0361374423161	14.945878682111	15.1625181999807	14.8657062003039
Eef2	15.3354730813416	15.192320300889	15.0907074654448	15.2594254192779	15.2858629367241	15.0669251464052	15.192320300889	15.1442087522612	15.2389123872035	15.3010355927874	15.1090710425158	15.1379435526068	15.3223839937908	14.9359988853232	15.0603305208576	15.3010355927874
Uchl1	15.1379435526068	15.3653103301967	15.3354730813416	15.2934392941971	15.3987481820764	15.3223839937908	15.5132601750667	15.3579371918462	15.3518482348388	15.2251779532122	15.3083785137477	15.3579371918462	15.3987481820764	15.4996411889157	15.2327580341183	15.2181397277108
Camk2b	15.6183037180869	15.1442087522612	15.2327580341183	15.6443611824187	15.3518482348388	15.2858629367241	15.201652257184	15.1736319553708	15.201652257184	14.9889173388274	15.2327580341183	15.4375795082355	15.4676386626463	15.0969203943701	15.1570082759612	15.4123763427484
Tspan3	15.2532371705301	15.207053794696	15.2716388078356	15.3442303116754	15.4445756396962	15.2389123872035	15.3010355927874	15.2660690129402	15.3442303116754	15.4676386626463	15.0485832962048	15.3354730813416	15.3010355927874	15.3083785137477	15.2389123872035	15.3653103301967
Eno1	15.1234364878132	15.3442303116754	15.2934392941971	15.1570082759612	15.3354730813416	15.2181397277108	15.4676386626463	15.2389123872035	15.3155536398645	15.3083785137477	15.1442087522612	15.1442087522612	15.1442087522612	15.0603305208576	14.9684139640626	15.0669251464052
Basp1	14.9617818697736	15.0969203943701	15.00738081711	15.1442087522612	15.0244113503144	14.9515446377742	14.9617818697736	15.1157504541811	15.2327580341183	15.0119258632135	15.0025678688302	14.8749362596823	14.8957976687758	14.7822456560181	15.0244113503144	15.0119258632135
Atp1a1	14.4346431515584	14.6612067682475	14.2293464400072	14.5341275662696	14.3822533053552	14.5648430830815	13.9182679410272	14.584561559681	14.4724826702854	14.4231514381754	14.7362146957484	14.3047860447872	14.3327021068937	14.1891160331833	14.5454305594944	14.4301277454351
Ptms	15.376263423138	15.4996411889157	15.2594254192779	15.5209201824651	15.7167631920307	15.4445756396962	15.3653103301967	15.1683582818305	15.4762331236845	14.8201041188803	15.2594254192779	14.945878682111	15.1570082759612	15.1028502827352	14.9839007591491	15.6531490671056
Sst	15.1157504541811	15.3155536398645	15.1442087522612	14.945878682111	15.3083785137477	15.0485832962048	15.00738081711	14.7441045181369	15.0361374423161	15.0669251464052	15.1315912994193	15.2532371705301	14.979762877314	15.2660690129402	14.9889173388274	15.1870134033273
Rpl18a	15.1736319553708	15.0485832962048	15.1157504541811	15.3987481820764	15.327529954935	14.7901458244928	15.3987481820764	15.3155536398645	15.1870134033273	15.4221193823889	15.1028502827352	15.3518482348388	15.3442303116754	15.3926426836039	15.2451156384738	15.2451156384738
Rpl19	15.2934392941971	14.945878682111	15.0244113503144	15.2858629367241	15.3155536398645	14.8396368969157	14.9120888435726	15.0119258632135	15.207053794696	15.1870134033273	14.9359988853232	15.1625181999807	14.9217174405783	14.843749651818	15.0858350323478	15.207053794696
S100b	15.0907074654448	15.2389123872035	15.3518482348388	15.192320300889	15.2660690129402	15.4123763427484	15.1570082759612	15.1234364878132	14.8487410875689	14.9684139640626	15.1157504541811	15.0025678688302	15.2451156384738	15.4123763427484	15.2934392941971	14.9016282282118
Calm2	15.00738081711	14.9684139640626	15.1625181999807	14.9270831258973	14.8749362596823	14.8957976687758	15.2389123872035	15.0734888875834	14.9307809610043	15.1442087522612	15.0734888875834	15.0119258632135	15.0178929477097	15.0669251464052	14.9270831258973	15.0244113503144
Mif	15.1570082759612	15.1234364878132	14.9058483941803	15.0802166589175	15.0548241462699	15.0178929477097	14.843749651818	14.917204995606	15.2251779532122	15.0361374423161	14.9270831258973	15.0734888875834	15.0119258632135	14.7317691501986	14.9956847463657	15.0178929477097
Chn1	14.5259730685224	15.2858629367241	15.0858350323478	14.9561417148577	15.1090710425158	15.2251779532122	15.3926426836039	15.0802166589175	14.7441045181369	14.6302426789521	15.3010355927874	14.7281597734839	15.0313682312994	15.4851676053332	15.00738081711	15.0802166589175
Eef1a2	14.9956847463657	14.9016282282118	14.8657062003039	15.0178929477097	14.979762877314	14.7771550361449	14.7362146957484	14.8957976687758	15.0907074654448	15.0244113503144	14.8334644957214	14.8148907506832	14.8240117370508	14.6396763670145	14.8334644957214	14.8957976687758
Rpl31	14.9515446377742	15.0119258632135	15.0361374423161	14.9684139640626	14.9217174405783	14.9058483941803	14.9270831258973	14.8487410875689	14.9684139640626	15.00738081711	14.8860172243249	15.0669251464052	14.9270831258973	14.9561417148577	14.9617818697736	14.979762877314
Pja2	14.7281597734839	14.9270831258973	15.0734888875834	15.0361374423161	14.8487410875689	15.0361374423161	15.1090710425158	15.1870134033273	14.700354664441	15.0178929477097	15.0802166589175	15.0548241462699	15.1870134033273	15.2389123872035	15.1090710425158	14.9058483941803
Nefl	15.0603305208576	15.0361374423161	14.9016282282118	15.0603305208576	15.0603305208576	14.7096376869003	15.207053794696	15.0244113503144	13.7296375717733	15.2389123872035	15.1379435526068	15.0361374423161	15.0858350323478	15.327529954935	15.201652257184	15.1234364878132
Ap2m1	14.9405225125854	14.8539309684181	14.9217174405783	15.0025678688302	14.9561417148577	14.843749651818	14.9016282282118	14.945878682111	15.0969203943701	15.0485832962048	14.9058483941803	14.9889173388274	14.9016282282118	14.8334644957214	14.9120888435726	14.9684139640626
Mt3	15.2594254192779	14.5933489461215	14.6874738097281	14.8913435181541	14.9058483941803	14.8539309684181	14.6699796895265	14.8017110315457	14.9839007591491	14.8860172243249	14.7956189672295	15.0313682312994	14.9617818697736	15.1442087522612	14.9359988853232	15.2716388078356
Camk2n1	14.0323465838774	14.1328578677772	13.7252442623884	14.0423154676461	13.8710235948724	13.6888579338658	13.8684343581384	13.6645776477419	14.0323465838774	14.1366967677454	13.9998187625152	14.2540942258906	13.8601382218941	14.1494969789845	13.9611313474289	14.0990558044649
Rpl23	15.3155536398645	15.0603305208576	14.9270831258973	15.1625181999807	15.1570082759612	15.0969203943701	14.8059819254162	14.7184271161338	15.0417188199817	14.9016282282118	14.7901458244928	15.0969203943701	15.0603305208576	14.6951292626189	14.7236638027895	15.1315912994193
Atp1a3	15.3010355927874	15.0907074654448	15.0548241462699	15.201652257184	15.3010355927874	15.1683582818305	15.0485832962048	15.1090710425158	15.3083785137477	14.7822456560181	15.0361374423161	14.9405225125854	15.0244113503144	15.207053794696	15.1870134033273	15.3518482348388
Rps3	15.0025678688302	15.1379435526068	15.1798728601876	15.2451156384738	15.3442303116754	15.2327580341183	14.9307809610043	14.8334644957214	15.2451156384738	14.9058483941803	14.9617818697736	14.9016282282118	14.9684139640626	14.7859995342814	14.8657062003039	14.9307809610043
Rpl3	15.201652257184	15.1798728601876	15.207053794696	15.1157504541811	15.1625181999807	15.1625181999807	15.3442303116754	14.870122125176	14.9058483941803	14.5341275662696	15.1798728601876	14.8860172243249	14.9839007591491	15.3010355927874	15.1234364878132	15.4043519291231
Ldhb	14.1155120981253	15.0669251464052	15.0178929477097	14.8293462444016	14.8017110315457	15.0244113503144	14.917204995606	14.7362146957484	15.00738081711	14.5933489461215	14.5050994097519	14.8059819254162	14.7398649872382	14.8487410875689	14.6699796895265	14.6538562540749
Gfap	15.6531490671056	15.1315912994193	15.1736319553708	15.1090710425158	15.384375318715	15.376263423138	15.5364150328989	15.5898179046282	15.3653103301967	15.6443611824187	15.2389123872035	15.0178929477097	15.2934392941971	15.6837334329834	15.8451283152462	15.6345151421691
Oaz2	15.0858350323478	14.9058483941803	15.2451156384738	14.8487410875689	14.6915652606616	14.9617818697736	15.1442087522612	15.2716388078356	14.9738228715657	15.3518482348388	15.4445756396962	15.1570082759612	15.3653103301967	15.0907074654448	15.5438572030124	15.00738081711
Ubc	14.2973676085992	15.1090710425158	15.0485832962048	14.9405225125854	15.0313682312994	15.1570082759612	15.149505682706	14.9515446377742	14.945878682111	14.9359988853232	14.9956847463657	14.9120888435726	14.870122125176	15.201652257184	14.979762877314	14.713924692049
Mobp	15.0802166589175	14.7487733972128	14.8201041188803	15.1234364878132	15.2716388078356	15.1315912994193	14.9561417148577	15.0858350323478	14.6227477852036	14.5601536838787	14.8610993028075	15.1736319553708	15.2389123872035	15.5438572030124	15.0669251464052	14.8059819254162
Fkbp1a	15.3579371918462	15.0548241462699	14.8017110315457	15.3653103301967	15.1798728601876	15.1442087522612	15.0361374423161	15.2327580341183	15.1625181999807	15.1379435526068	15.212543736789	15.1157504541811	15.1683582818305	15.0858350323478	15.3354730813416	15.2594254192779
Gnao1	14.9120888435726	14.7236638027895	14.7583180489969	14.7583180489969	14.7096376869003	14.7441045181369	14.8334644957214	14.6915652606616	14.6656801100462	14.7096376869003	14.8487410875689	14.9217174405783	15.0548241462699	15.0734888875834	14.9217174405783	14.917204995606
Myl12b	14.6538562540749	15.0178929477097	15.0603305208576	14.9217174405783	14.8913435181541	15.0119258632135	15.0025678688302	15.0969203943701	14.9359988853232	14.8657062003039	14.9889173388274	14.8539309684181	14.9120888435726	14.8017110315457	14.9016282282118	14.6874738097281
